trial,ds_score
0,1.5128205128205128
1,1.5128205128205128
2,1.7179487179487178
3,1.9230769230769231
4,1.9487179487179487
5,1.7692307692307692
6,2.076923076923077
7,2.0256410256410255
8,1.8974358974358974
9,1.9487179487179487
10,2.1025641025641026
11,1.9743589743589745
12,1.9487179487179487
13,1.9487179487179487
14,1.9487179487179487
15,1.7179487179487178
16,1.9743589743589745
17,2.0256410256410255
18,1.8205128205128205
19,1.9487179487179487
20,2.128205128205128
21,1.9230769230769231
22,2.2051282051282053
23,2.230769230769231
24,2.051282051282051
25,2.282051282051282
26,2.0256410256410255
27,2.2564102564102564
28,1.9743589743589745
29,2.282051282051282
30,2.1794871794871793
31,2.0
32,2.076923076923077
33,2.1794871794871793
34,2.3846153846153846
35,2.051282051282051
36,1.868421052631579
37,1.9210526315789473
38,2.263157894736842
39,2.1842105263157894
40,2.236842105263158
41,2.1578947368421053
42,2.3157894736842106
43,2.289473684210526
44,2.1578947368421053
45,2.210526315789474
46,2.263157894736842
47,2.289473684210526
48,2.1052631578947367
49,2.263157894736842
50,2.1842105263157894
51,2.1315789473684212
52,2.263157894736842
53,2.263157894736842
